kg1_treated_rep1	kg1_treated_rep2	kg1_treated_rep3	kg1_DMSO_rep1	kg1_DMSO_rep2	kg1_DMSO_rep3	molm14_treated_rep1	molm14_treated_rep2	molm14_treated_rep3	molm14_DMSO_rep1	molm14_DMSO_rep2	molm14_DMSO_rep3	ociaml2_treated_rep1	ociaml2_treated_rep2	ociaml2_treated_rep3	ociaml2_DMSO_rep1	ociaml2_DMSO_rep2	ociaml2_DMSO_rep3	ociaml3_treated_rep1	ociaml3_treated_rep2	ociaml3_treated_rep3	ociaml3_DMSO_rep1	ociaml3_DMSO_rep2	ociaml3_DMSO_rep3	thp1_treated_rep1	thp1_treated_rep2	thp1_treated_rep3	thp1_DMSO_rep1	thp1_DMSO_rep2	thp1_DMSO_rep3
DAC+SB.4.2-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRG.2.1-x3-0	0	2.37807750067436	0	0	0	0	0.675899380921606	0	0	0	0	0	0	3.32152229499919	0.319398796615084	0.637387922486089	0	0.434066235750937	0.401915140241554	3.90691556952399	0	0	3.56236309584013	0	0.448733494556438	0	1.02263238883095	0	0	1.12316607736208
DAC+SB.7.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.9.1-x1-0	5.84320618795488	0	2.34017464099854	3.34212357848275	0	2.60854783075582	2.70359752368642	5.31979995633642	3.79597654087221	5.23083219774028	5.16359233992089	2.3473737139813	5.53709514799088	0	4.47158315261117	5.09910337988871	9.33878298470707	1.73626494300375	6.02872710362331	15.6276622780959	3.44980251268016	4.31734306955963	0	4.9104526505822	4.93606844012082	2.27510158216174	2.55658097207737	3.34101584730065	4.48996790868919	5.05424734812937
DAC+SB.11.2-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC.3.1-x2-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.13.2-x1-0	0	0	0.468034928199707	0	0	0.326068478844478	0	0	0	0	0	0	0	0	0	0	0	0	0.401915140241554	0	0	0	0	0.49104526505822	0	0	0	0	4.48996790868919	0
STRG.5.2-x3-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.13.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.13.3-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.14.2-x1-0	0.898954798146905	0	0	0	0	0.326068478844478	0	0	0	0	0	0	4.5303505756289	9.96456688499758	7.34617232214693	4.46171545740262	0	4.34066235750937	0.401915140241554	0	0	0	0	0.49104526505822	0.448733494556438	0	0	0	0	0
DAC+SB.14.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.15.4-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.15.5-x1-0	0.449477399073453	0	0	0.557020596413791	3.54113382061819	0.978205436533434	0	0	0	2.61541609887014	0	1.76053028548597	0	0	0.319398796615084	0.637387922486089	0	0.868132471501874	0	0	0	0	3.56236309584013	0.49104526505822	0	2.27510158216174	2.0452647776619	3.34101584730065	0	2.24633215472416
DAC+SB.15.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.48996790868919	0
DAC+SB.15.2-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.15.3-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.17.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.19.3-x1-0	1.79790959629381	2.37807750067436	1.87213971279883	0.557020596413791	0	0.652136957688956	0	0	0.632662756812035	0.653854024717535	0	0.586843428495325	1.51011685854297	0	0.638797593230168	1.27477584497218	4.66939149235353	0.434066235750937	1.20574542072466	0	1.14993417089339	0	0	3.43731685540754	1.34620048366931	0	1.02263238883095	2.00460950838039	4.48996790868919	1.12316607736208
DAC.4.1-x2-0	0	0	0	0	0	0	0	0	0	0.653854024717535	0	0	0	0	0	0	46.6939149235353	0	0	0	0	0	0	0	0	0	0	0	0	3.93108127076728
DAC.4.2-x2-0	1.34843219722036	0	0	0	0	0	2.02769814276482	0	0	0	0	0	1.00674457236198	0	0	0	0	0.868132471501874	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.20.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.21.2-x1-0	0	4.75615500134871	7.02052392299561	0	3.54113382061819	5.8692326192006	0	0	3.79597654087221	0	0	4.6947474279626	0	6.64304458999839	7.02677352553185	7.01126714734698	0	12.1538546010262	0	0	0	6.47601460433945	14.2494523833605	0	9.87213688024163	0	8.69237530506307	12.6958602197425	4.48996790868919	0
DAC+SB.21.3-x1-0	10.3379801786894	0	0	6.68424715696549	0	0	8.11079257105927	0	0	13.7309345190682	0	0	3.52360600326692	0	0	0	0	0	11.6555390670051	15.6276622780959	12.0743087943806	0	0	5.40149791564042	0	11.3755079108087	0	0	0	8.98532861889665
DAC+SB.21.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.23.2-x1-0	13.4843219722036	9.51231000269743	14.9771177023906	2.22808238565516	17.705669103091	12.0645337172457	8.78669195198087	10.6395999126728	3.79597654087221	8.50010232132795	0	11.1500251414112	16.6112854439726	16.607611474996	13.4147494578335	11.4729826047496	0	19.5329806087922	4.42106654265709	0	12.6492758798272	12.232472030419	0	4.9104526505822	23.7828752114912	22.7510158216174	13.2942210548023	16.7050792365033	4.48996790868919	16.8474911604312
DAC+SB.23.1-x1-0	0	2.37807750067436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.26.1-x1-0	0	0	0	0	0	0	1.35179876184321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.26.2-x1-0	4.04529659166107	0	2.34017464099854	1.11404119282758	0	1.30427391537791	0.675899380921606	0	1.26532551362407	0.653854024717535	0	0	1.00674457236198	0	0	0.637387922486089	0	1.73626494300375	0	0	0	0	7.12472619168026	0.49104526505822	2.24366747278219	2.27510158216174	2.0452647776619	0.66820316946013	0	0
DAC+SB.27.1-x1-0	0	0	0	0	0	0.326068478844478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STRG.9.1-x3-0	0	2.37807750067436	0	0	0	0	0	0	1.26532551362407	0	0	0	1.51011685854297	0	0	0	0	0	0	0	0	0	0	0	1.79493397822575	0	0.511316194415475	0.66820316946013	0	0.561583038681041
DAC+SB.33.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.35.1-x1-0	0	0	0	0	0	0	0	0	0	0.653854024717535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.35.2-x1-0	0	2.37807750067436	0	0	7.08226764123639	0	0	0	0	0	10.3271846798418	0	0	0	0	0	0	0.868132471501874	3.61723626217398	0	4.02476959812685	0	0	0	0	0	4.0905295553238	0	0	0
DAC+SB.38.1-x1-0	0.449477399073453	0	0	0	0	0	0	0	0	0	0	0.586843428495325	0	0	0	0	0	0	1.60766056096622	0	0	0	0	0	0	0	0	0	0	1.68474911604312
DAC+SB.39.1-x1-0	8.5400705823956	7.13423250202307	7.02052392299561	5.57020596413791	0	6.19530109804508	8.78669195198087	0	5.69396481130831	10.4616643954806	5.16359233992089	6.45527771344857	8.05395657889582	13.2860891799968	5.42977954245643	10.1982067597774	4.66939149235353	6.94505977201499	9.64596336579729	3.90691556952399	5.74967085446693	6.47601460433945	0	7.85672424093151	8.07720290201588	11.3755079108087	10.2263238883095	8.01843803352156	22.449839543446	6.17741342549145
DAC+SB.41.1-x1-0	1.34843219722036	0	0.468034928199707	0	3.54113382061819	0	1.35179876184321	0	0.632662756812035	2.61541609887014	0	0.586843428495325	0	0	0.638797593230168	0	0	0	2.41149084144932	0	1.14993417089339	2.15867153477982	3.56236309584013	0	1.79493397822575	6.82530474648523	3.57921336090832	7.35023486406143	4.48996790868919	1.12316607736208
DAC+SB.43.1-x1-0	0	2.37807750067436	0	0	0	0	0	0	1.26532551362407	0	0	0	0.503372286180989	3.32152229499919	0	1.91216376745827	0	0	2.41149084144932	0	0	2.15867153477982	0	0.49104526505822	3.5898679564515	2.27510158216174	3.57921336090832	4.00921901676078	0	0
DAC+SB.44.1-x1-0	0.449477399073453	0	0	0	3.54113382061819	0.326068478844478	0	0	0	1.30770804943507	0	0.586843428495325	2.51686143090495	0	0.638797593230168	0	0	0.434066235750937	0	0	0	1.43911435651988	0	1.96418106023288	0.448733494556438	0	1.02263238883095	0	0	0.561583038681041
DAC+SB.46.1-x1-0	0	0	0	0	0	0	0	0	0	0.653854024717535	0	0	0	0	0.638797593230168	0	0	0	0.803830280483107	0	0	1.43911435651988	0	0	0	6.82530474648523	0	0	0	0
