chr	start	end	strand	pvalue	qvalue	meth.diff	symbol	tss	tss.strand	distance
chr1	629001	630000	*	1	0.790350066518014	-0.470588235294118	LOC101928626	629009	-	-8
chr1	946001	947000	*	0.000315138544925076	0.00476290608534123	-52.1052631578947	NOC2L	959256	-	-13255
chr1	976001	977000	*	0.554896090378604	0.704186151776906	-4.55631399317406	PERM1	981173	-	-5172
chr1	1045001	1046000	*	0.00162268431045043	0.0152724528994329	-24.3965517241379	AGRN	1033993	+	-11008
chr1	1070001	1071000	*	1	0.790350066518014	-1.44927536231884	LOC105378948	1069337	-	664
chr1	1083001	1084000	*	1	0.790350066518014	3.8135593220339	RNF223	1074306	-	8695
chr1	1088001	1089000	*	0.0491252402298404	0.154018604485798	18.1818181818182	RNF223	1074306	-	13695
chr1	1116001	1117000	*	1	0.790350066518014	-5.17241379310345	C1orf159	1116089	-	-88
chr1	1117001	1118000	*	0.352382574550316	0.531207006680014	5.73520439292251	C1orf159	1116089	-	912
chr1	1136001	1137000	*	0.461193500566712	0.630979462276876	-8.86138613861386	LINC01342	1137017	+	1016
chr1	1145001	1146000	*	0.128798948514147	0.282589657676032	30	LINC01342	1137017	+	-7984
chr1	1246001	1247000	*	1	0.790350066518014	1.59090909090909	C1QTNF12	1246722	-	-721
chr1	1297001	1298000	*	0.0553796065887255	0.166655664084354	-16.8944099378882	MIR6726	1296170	-	831
chr1	1334001	1335000	*	0.315975366238314	0.499167112962339	-5.87431693989072	TAS1R3	1331280	+	-2721
chr1	1354001	1355000	*	0.0334513939724867	0.118362440487422	-33.7037037037037	MXRA8	1358547	-	-4546
chr1	1376001	1377000	*	0.0326319237898556	0.116342927905334	-28.9473684210526	AURKAIP1	1375207	-	794
chr1	1390001	1391000	*	0.30327868852459	0.487877711778768	-8.0392156862745	CCNL2	1398342	-	-8341
chr1	1399001	1400000	*	0.617820988738165	0.744550592868646	-2.39520958083832	CCNL2	1399335	-	-334
chr1	1406001	1407000	*	0.0579724261553658	0.170658814709172	-31.8181818181818	MRPL20	1407293	-	-1292
chr1	1429001	1430000	*	0.716573971078977	0.790350066518014	11.0671936758893	TMEM88B	1426128	+	-2873
chr1	1437001	1438000	*	0.186551031878594	0.359276935190783	25	VWA1	1435690	+	-1311
chr1	1511001	1512000	*	0.613446687805067	0.741955143163597	-5.80645161290323	ATAD3A	1512162	+	1161
chr1	1522001	1523000	*	0.532814238042269	0.684332280269006	14.2857142857143	ATAD3A	1512530	+	-9471
chr1	1527001	1528000	*	1	0.790350066518014	2.85714285714286	TMEM240	1540624	-	-13623
chr1	1550001	1551000	*	0.0141004201216521	0.0655965689169766	-30.1912568306011	TMEM240	1540624	-	9377
chr1	1562001	1563000	*	0.000242914698768423	0.00394541283555582	-40	SSU72	1574863	-	-12862
chr1	1613001	1614000	*	1	0.790350066518014	-1.75213675213676	MIB2	1615415	+	2414
chr1	1614001	1615000	*	1	0.790350066518014	-1.76991150442478	MIB2	1615415	+	1414
chr1	1708001	1709000	*	6.50887230385112e-10	2.53720554214033e-07	-53.0519480519481	MMP23A	1699939	+	-8062
chr1	2048001	2049000	*	0.0007881813840851	0.00919417882912297	-47.1988795518207	PRKCZ-DT	2050070	-	-2069
chr1	2071001	2072000	*	0.0677071470900685	0.18666209897931	-30.6324110671937	PRKCZ	2073462	+	2461
