seqnames	start	end	width	strand	symbol	coverage1	numCs1	numTs1	coverage2	numCs2	numTs2
chr11	106077657	106077663	7	*	AASDHPPT	42	0	42	21	0	21
chr9	104927367	104927395	29	*	ABCA1	52	0	52	33	2	31
chr4	88158656	88158662	7	*	ABCG2	94	4	90	36	0	36
chr4	127965414	127965429	16	*	ABHD18	58	0	58	45	0	45
chr18	21703836	21704734	899	*	ABHD3	136	0	136	74	0	74
chr4	8159105	8159133	29	*	ABLIM2	126	0	126	64	0	64
chr10	124802140	124802259	120	*	ABRAXAS2	70	0	70	32	0	32
chr3	128879252	128879980	729	*	ACAD9	119	4	115	47	4	43
chr6	159761583	159761583	1	*	ACAT2	18	1	17	11	0	11
chr22	41469213	41469239	27	*	ACO2	64	0	64	37	0	37
chr19	11578735	11578735	1	*	ACP5	20	6	14	10	2	8
chr1	202861588	202862073	486	*	ACTG1P25	41	1	40	20	0	20
chr10	126387803	126387809	7	*	ADAM12	32	3	29	21	0	21
chr1	155051525	155051525	1	*	ADAM15	36	1	35	10	0	10
chr15	100342199	100342199	1	*	ADAMTS17	12	0	12	10	0	10
chr4	72570114	72570114	1	*	ADAMTS3	20	20	0	10	7	3
chr15	82294137	82294137	1	*	ADAMTS7P1	11	11	0	10	6	4
chr18	906066	906066	1	*	ADCYAP1	21	20	1	11	7	4
chr6	68634712	68634712	1	*	ADGRB3-DT	14	10	4	11	11	0
chr1	203127999	203127999	1	*	ADORA1	16	4	12	10	5	5
chr1	36089715	36089731	17	*	ADPRS	66	0	66	32	1	31
chr10	111076572	111076582	11	*	ADRA2A	32	0	32	20	0	20
chr5	148826083	148826110	28	*	ADRB2	208	1	207	60	0	60
chr2	27051681	27051681	1	*	AGBL5	32	0	32	11	0	11
chr2	227472554	227472581	28	*	AGFG1	56	1	55	32	0	32
chr3	148697940	148697952	13	*	AGTR1	27	25	2	25	16	9
chr1	11736857	11736862	6	*	AGTRAP	57	0	57	20	0	20
chr7	129224826	129224840	15	*	AHCYL2	87	0	87	44	0	44
chr14	104977747	104977957	211	*	AHNAK2	75	37	38	48	20	28
chr2	61177621	61177644	24	*	AHSA2P	191	1	190	52	0	52
chr13	42271558	42272020	463	*	AKAP11	55	4	51	34	5	29
chr7	134458790	134458805	16	*	AKR1B1	47	7	40	22	2	20
chr11	68007940	68007940	1	*	ALDH3B1	22	22	0	10	7	3
chr16	30066279	30066279	1	*	ALDOA	33	0	33	11	0	11
chr17	28576248	28576248	1	*	ALDOC	15	15	0	10	7	3
chr13	36998876	36998889	14	*	ALG5	62	0	62	25	0	25
chr11	43880773	43880773	1	*	ALKBH3	18	0	18	10	0	10
chr11	107565793	107565807	15	*	ALKBH8	35	0	35	21	0	21
chr2	232407072	232407097	26	*	ALPG	47	6	41	21	5	16
chr13	25173251	25173251	1	*	AMER2	12	3	9	13	3	10
