chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value
chr14	20309812	20309911	1012398:Retroposon:SVA_D	0	+	20309812	20309911	0	1	100	0	0.612121285313354	0.918634608032913
chr14	21697572	21697621	1013519:Retroposon:SVA_B	0	+	21697572	21697621	0	1	50	0	-1.38629436111052	0.167111835739418
chr14	21698022	21698071	1013519:Retroposon:SVA_B	0	+	21698022	21698071	0	1	50	0	0.268633877481086	0.87293952709618
chr1	152471590	152471639	101477:Retroposon:SVA_D	0	-	152471590	152471639	0	1	50	0	-6.65415481747402e-17	1
chr14	65634234	65634283	1041731:Retroposon:SVA_D	0	+	65634234	65634283	0	1	50	0	1.18958406687384	0.453024545209019
chr14	67341745	67341794	1042788:Retroposon:SVA_E	0	+	67341745	67341794	0	1	50	0	2.99573227340218	0.000728512223314937
chr14	76822690	76822739	1050593:Retroposon:SVA_F	0	+	76822690	76822739	0	1	50	0	1.79175946921869	0.0242698986728733
chr1	160936644	160936693	107573:Retroposon:SVA_C	0	-	160936644	160936693	0	1	50	0	3.47683479586778	0.292135437400397
chr1	161616940	161616989	108115:Retroposon:SVA_C	0	-	161616940	161616989	0	1	50	0	-0.510825623246244	0.536897081434145
chr14	35152098	35152147	1082430:Retroposon:SVA_C	0	-	35152098	35152147	0	1	50	0	-2.6390573344824	0.220380445537349
chr14	65692737	65692786	1102599:Retroposon:SVA_D	0	-	65692737	65692786	0	1	50	0	-2.4567357728213	0.00278699360011858
chr14	76898426	76898475	1111740:Retroposon:SVA_B	0	-	76898426	76898475	0	1	50	0	-0.287682071932034	0.707375395817177
chr14	77994093	77994142	1112855:Retroposon:SVA_E	0	-	77994093	77994142	0	1	50	0	1.38629436111052	0.143850563544193
chr14	81244571	81244620	1115091:Retroposon:SVA_B	0	-	81244571	81244620	0	1	50	0	-0.980829253011781	0.242865805071063
chr14	85830196	85830245	1117747:Retroposon:SVA_D	0	-	85830196	85830245	0	1	50	0	0.263044768066395	0.857297996023186
chr15	31184392	31184441	1140151:Retroposon:SVA_B	0	+	31184392	31184441	0	1	50	0	2.14006616349627	0.211717011347733
chr15	84642334	84642383	1180623:Retroposon:SVA_A	0	+	84642334	84642383	0	1	50	0	-3.36729582998647	0.183693757418583
chr15	84672451	84672500	1180646:Retroposon:SVA_C	0	+	84672451	84672500	0	1	50	0	1.60943791610235	0.0543804234231622
chr15	88524614	88524663	1183406:Retroposon:SVA_B	0	+	88524614	88524663	0	1	50	0	2.70805020109284	0.00310479707850908
chr15	27003620	27003669	1197413:Retroposon:SVA_F	0	-	27003620	27003669	0	1	50	0	1.79175946921869	0.0242698986728733
chr15	27004420	27004469	1197413:Retroposon:SVA_F	0	-	27004420	27004469	0	1	50	0	-1.94591015481599	0.35731819857535
chr1	179418876	179418925	120492:Retroposon:SVA_D	0	-	179418876	179418925	0	1	50	0	1.38629436210067	0.329465065751179
chr15	45331872	45331921	1210134:Retroposon:SVA_A	0	-	45331872	45331921	0	1	50	0	2.0794415445652	0.151441468810839
chr15	55445575	55445624	1216786:Retroposon:SVA_A	0	-	55445575	55445624	0	1	50	0	1.10782894377304	0.686456205386297
chr15	72806412	72806461	1231008:Retroposon:SVA_D	0	-	72806412	72806461	0	1	50	0	-2.56494936425976	0.26294962313906
chr15	78520651	78520700	1235442:Retroposon:SVA_D	0	-	78520651	78520700	0	1	50	0	1.09861229199984	0.549811020896123
chr15	92767556	92767605	1246483:Retroposon:SVA_D	0	-	92767556	92767605	0	1	50	0	0.22314355131421	0.741243011053988
chr16	8733467	8733516	1259271:Retroposon:SVA_F	0	-	8733467	8733516	0	1	50	0	-1.60943791391813	0.318465778501574
chr16	11336338	11336387	1261911:Retroposon:SVA_F	0	-	11336338	11336387	0	1	50	0	-1.26346825466323e-16	1
chr16	24109490	24109539	1275091:Retroposon:SVA_D	0	-	24109490	24109539	0	1	50	0	0.0363676530775073	0.979102241760435
chr16	56740838	56740887	1293024:Retroposon:SVA_C	0	-	56740838	56740887	0	1	50	0	-4.80402104473326	0.143261286447018
chr1	198584102	198584151	132297:Retroposon:SVA_A	0	-	198584102	198584151	0	1	50	0	4.06044301054642	0.00249657217093369
chr16	8115036	8115135	1325421:Retroposon:SVA_D	0	+	8115036	8115135	0	1	100	0	2.99573227355399	0.0131800187791052
chr16	18734381	18734430	1336205:Retroposon:SVA_B	0	+	18734381	18734430	0	1	50	0	2.30258509665292	0.113252245158867
chr16	53539802	53539851	1357312:Retroposon:SVA_D	0	+	53539802	53539851	0	1	50	0	4.34380542185369	0.188972897909131
chr16	66631508	66631557	1366810:Retroposon:SVA_D	0	+	66631508	66631557	0	1	50	0	2.83321334404685	0.000231737965137979
chr16	71589113	71589162	1371381:Retroposon:SVA_D	0	+	71589113	71589162	0	1	50	0	0.336472237585837	0.838349453306856
chr16	80243081	80243130	1378077:Retroposon:SVA_C	0	+	80243081	80243130	0	1	50	0	0.382992252256105	0.881271240447605
chr16	89498736	89498785	1385273:Retroposon:SVA_A	0	+	89498736	89498785	0	1	50	0	0.925769475828698	0.716596265353875
chr16	89498986	89499085	1385273:Retroposon:SVA_A	0	+	89498986	89499085	0	1	100	0	0.16805910987339	0.997798982088295
chr17	28603909	28603958	1406919:Retroposon:SVA_D	0	-	28603909	28603958	0	1	50	0	-2.03143231959875	0.0905615400708357
