chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value
chr14	67341745	67341794	1042788:Retroposon:SVA_E	0	+	67341745	67341794	0	1	50	0	2.99573227340218	0.000728512223314937
chr14	65692737	65692786	1102599:Retroposon:SVA_D	0	-	65692737	65692786	0	1	50	0	-2.4567357728213	0.00278699360011858
chr15	88524614	88524663	1183406:Retroposon:SVA_B	0	+	88524614	88524663	0	1	50	0	2.70805020109284	0.00310479707850908
chr1	198584102	198584151	132297:Retroposon:SVA_A	0	-	198584102	198584151	0	1	50	0	4.06044301054642	0.00249657217093369
chr16	66631508	66631557	1366810:Retroposon:SVA_D	0	+	66631508	66631557	0	1	50	0	2.83321334404685	0.000231737965137979
chr17	8550924	8550973	1459712:Retroposon:SVA_D	0	+	8550924	8550973	0	1	50	0	21.4815557019334	4.94849357279836e-06
chr17	16145132	16145181	1465575:Retroposon:SVA_B	0	+	16145132	16145181	0	1	50	0	4.91998092581876	9.31696214623301e-08
chr17	30523722	30523771	1473880:Retroposon:SVA_D	0	+	30523722	30523771	0	1	50	0	4.27666611901605	0.0053108177374116
chr17	77775688	77775737	1513595:Retroposon:SVA_D	0	+	77775688	77775737	0	1	50	0	4.11087386417331	0.0070466448001173
chr19	9483341	9483390	1621129:Retroposon:SVA_B	0	+	9483341	9483390	0	1	50	0	-2.61352402761046	0.000557226744243522
chr19	23964085	23964134	1634702:Retroposon:SVA_A	0	+	23964085	23964134	0	1	50	0	-2.72457950305342	9.0016838448892e-05
chr19	34922595	34922644	1690824:Retroposon:SVA_B	0	-	34922595	34922644	0	1	50	0	-5.39816270150839	5.52911373749021e-05
chr19	52593156	52593205	1708496:Retroposon:SVA_D	0	-	52593156	52593205	0	1	50	0	4.12713438504509	0.00685510559236479
chr2	134968245	134968294	1802496:Retroposon:SVA_D	0	-	134968245	134968294	0	1	50	0	5.62762111369063	0.000476117475343041
chr2	214834440	214834489	1851595:Retroposon:SVA_D	0	-	214834440	214834489	0	1	50	0	21.6473088322941	3.74269187752851e-06
chr2	156294102	156294151	1971872:Retroposon:SVA_F	0	+	156294102	156294151	0	1	50	0	22.3198649299667	3.23898581855442e-06
chr2	203207134	203207183	2001386:Retroposon:SVA_D	0	+	203207134	203207183	0	1	50	0	-3.59181774254547	0.00168214971332958
chr3	14945540	14945589	2244425:Retroposon:SVA_A	0	-	14945540	14945589	0	1	50	0	6.109247582755	1.8428724879449e-08
chr3	103531304	103531353	2301521:Retroposon:SVA_D	0	-	103531304	103531353	0	1	50	0	-3.99820070167446	0.000860999356805059
