chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value
chr1	151874577	151874626	101058:SINE:AluSx	0	-	151874577	151874626	0	1	50	0	-1.93932033937761	0.00189621035592935
chr14	22771978	22772027	1014183:SINE:AluSx	0	+	22771978	22772027	0	1	50	0	-5.20948615283205	0.00137978238982206
chr14	24444553	24444602	1015374:SINE:AluJb	0	+	24444553	24444602	0	1	50	0	2.0067397091337	0.00291651816445448
chr14	60247600	60247657	1037866:SINE:AluY	0	+	60247600	60247657	0	1	58	0	-3.80666248976995	0.000191567397137216
chr14	92534400	92534449	1061587:SINE:AluSx	0	+	92534400	92534449	0	1	50	0	-21.9416424226082	0.00309958680366107
chr14	97240317	97240375	1065435:SINE:AluY	0	+	97240317	97240375	0	1	59	0	2.36609849968029	0.00286430543374217
chr14	102205117	102205166	1068882:SINE:AluJb	0	+	102205117	102205166	0	1	50	0	3.96081316959758	0.000228590064695
chr14	47617422	47617471	1089762:SINE:AluSx	0	-	47617422	47617471	0	1	50	0	4.24132675240972	3.92531632253945e-06
chr14	52689226	52689275	1093024:SINE:AluSx	0	-	52689226	52689275	0	1	50	0	-3.7612001156842	0.00268409097628397
chr16	21619589	21619638	1272379:SINE:AluSx	0	-	21619589	21619638	0	1	50	0	2.40612577184604	0.000182412560755796
chr16	33592791	33592840	1283753:SINE:AluSx	0	-	33592791	33592840	0	1	50	0	-4.02758134316769	0.00236352000170659
chr16	87572242	87572291	1317548:SINE:AluSx	0	-	87572242	87572291	0	1	50	0	-4.16555719044736	0.00209361571629396
chr16	2455030	2455085	1320724:SINE:AluSx	0	+	2455030	2455085	0	1	56	0	-21.7004803657886	0.00240213154267632
chr16	10316223	10316282	1327656:SINE:AluY	0	+	10316223	10316282	0	1	60	0	-22.248495242049	0.00218666051208294
chr16	15012992	15013041	1332314:SINE:AluY	0	+	15012992	15013041	0	1	50	0	5.13579843705026	0.00116693900059117
chr16	23000924	23000973	1340417:SINE:AluSx	0	+	23000924	23000973	0	1	50	0	-1.99890267919622	2.7535761830566e-05
chr16	48182700	48182796	1352978:SINE:AluY	0	+	48182700	48182796	0	1	97	0	2.63905732960589	0.00333374603571979
chr16	71787095	71787194	1371603:SINE:AluSx	0	+	71787095	71787194	0	1	100	0	5.41610040219504	8.38212207431861e-10
chr16	84591570	84591619	1381715:SINE:AluJb	0	+	84591570	84591619	0	1	50	0	4.9487598903688	1.305286318809e-06
chr17	9093020	9093069	1393599:SINE:AluY	0	-	9093020	9093069	0	1	50	0	2.01490302038124	0.00213889962091906
chr17	32354732	32354781	1410607:SINE:AluSx	0	-	32354732	32354781	0	1	50	0	-3.53732955598668	0.000144563196540437
chr17	78108988	78109037	1448721:SINE:AluJb	0	-	78108988	78109037	0	1	50	0	5.88053298639135	6.94613073726202e-08
chr17	4510927	4510976	1456173:SINE:MIRb	0	+	4510927	4510976	0	1	50	0	5.45103845355646	1.59735478610923e-06
chr17	38840579	38840628	1480980:SINE:AluJb	0	+	38840579	38840628	0	1	50	0	-4.02980604108453	0.00148096570856282
chr17	40274920	40274969	1482356:SINE:AluJb	0	+	40274920	40274969	0	1	50	0	3.52636052445514	5.60808160743331e-06
chr17	42804628	42804677	1484491:SINE:AluSx	0	+	42804628	42804677	0	1	50	0	2.91777073265714	0.000347512233353831
chr17	50730483	50730532	1491600:SINE:AluSx	0	+	50730483	50730532	0	1	50	0	-23.8066624897709	0.00287828959366654
chr17	63141312	63141361	1501555:SINE:AluSx	0	+	63141312	63141361	0	1	50	0	-4.33401741522087	0.000572063999146444
chr17	66232600	66232660	1504282:SINE:AluSx	0	+	66232600	66232660	0	1	61	0	3.09104245334895	0.000733956708456884
chr18	9741196	9741245	1571147:SINE:AluSx	0	+	9741196	9741245	0	1	50	0	4.85981240436167	0.0019140040657214
chr18	37229700	37229749	1585652:SINE:AluY	0	+	37229700	37229749	0	1	50	0	-2.94443897915707	0.0023205852739534
chr18	47304639	47304688	1591949:SINE:AluSx	0	+	47304639	47304688	0	1	50	0	2.83321334404685	0.0014874567265285
chr19	2192592	2192690	1613583:SINE:AluSx	0	+	2192592	2192690	0	1	99	0	3.61091791320772	0.0017475342054325
chr19	2292119	2292215	1613638:SINE:AluJb	0	+	2292119	2292215	0	1	97	0	4.82028156560503	0.0020534300262206
chr19	4798581	4798633	1616302:SINE:AluY	0	+	4798581	4798633	0	1	53	0	3.49650756130545	2.91382102820537e-05
chr19	10164900	10164959	1621882:SINE:AluSx	0	+	10164900	10164959	0	1	60	0	4.4659081189825	0.000111300495274969
chr19	21059515	21059564	1632997:SINE:AluSx	0	+	21059515	21059564	0	1	50	0	-1.70349338692972	0.00206984017477141
chr19	21184170	21184219	1633074:SINE:AluSx	0	+	21184170	21184219	0	1	50	0	-1.2633165085864	0.000154680061391521
chr19	38297413	38297462	1643211:SINE:AluSx	0	+	38297413	38297462	0	1	50	0	4.6151205168714	4.54923112040984e-05
chr1	243798420	243798469	164516:SINE:AluJb	0	-	243798420	243798469	0	1	50	0	-2.42036812865114	0.00239172446556357
chr19	42227579	42227628	1647109:SINE:AluY	0	+	42227579	42227628	0	1	50	0	4.68675017281949	9.80202219391657e-08
chr19	43974983	43975054	1648516:SINE:AluSx	0	+	43974983	43975054	0	1	72	0	-3.33408244513681	0.00106688413500022
chr19	48056627	48056676	1652835:SINE:AluY	0	+	48056627	48056676	0	1	50	0	4.51633897228148	0.0010973261724353
chr19	53413068	53413117	1657877:SINE:AluSx	0	+	53413068	53413117	0	1	50	0	5.15329159449778	0.00113066787490534
chr19	4497394	4497443	1666561:SINE:AluY	0	-	4497394	4497443	0	1	50	0	1.45898409448889	0.0028518185223374
chr19	18992314	18992363	1682159:SINE:AluY	0	-	18992314	18992363	0	1	50	0	4.69134788811855	2.45148183661836e-05
chr1	1317360	1317415	168911:SINE:AluSx	0	+	1317360	1317415	0	1	56	0	3.36729582998647	0.00102347244385748
