chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value
chr1	85718376	85724246	DAC.12-x1-0	0	-	85718376	85724246	0	2	10,40	0,5831	0.0313816007412066	0.950275087832042
chr1	85724297	85724346	DAC.12-x1-0	0	-	85724297	85724346	0	1	50	0	2.25129179823021	0.186491603224766
chr7	23340604	23347503	DAC.157-x1-0	0	+	23340604	23347503	0	2	33,17	0,6883	-0.0896121586896875	0.968071663600417
chr8	142146634	142146683	DAC.198-x1-0	0	+	142146634	142146683	0	1	50	0	-0.992128800614339	0.498912369232173
chr9	74586496	74587618	DAC.204-x1-0	0	+	74586496	74587618	0	2	39,11	0,1112	-3.80666248977032	0.16811705755808
chr11	65306424	65306473	DAC.222-x1-0	0	-	65306424	65306473	0	1	50	0	-2.18953223171306	0.451535891457527
chr11	110171085	110171134	DAC.223-x1-0	0	-	110171085	110171134	0	1	50	0	-1.38629436401462	0.288164887511417
chr12	1192346	1192695	DAC.230-x1-0	0	+	1192346	1192695	0	1	350	0	1.34013231935673	0.000432918817311124
chr12	1192746	1219431	DAC.230-x1-0	0	+	1192746	1219431	0	3	1,75,74	0,21170,26612	1.65490028379124	0.422092124405015
chr12	1225166	1250851	DAC.230-x1-0	0	+	1225166	1250851	0	2	34,66	0,25620	-2.48181545027206	0.27967664148581
chr13	27787052	27787101	DAC.252-x1-0	0	+	27787052	27787101	0	1	50	0	2.6390573344824	0.0711850788616163
chr13	27787152	27787251	DAC.252-x1-0	0	+	27787152	27787251	0	1	100	0	1.17104212651292	0.715005228819188
chr13	27787302	27793544	DAC.252-x1-0	0	+	27787302	27793544	0	2	39,61	0,6182	0.564529795452523	0.880224925248163
chr14	20779901	20781665	DAC.263-x1-0	0	-	20779901	20781665	0	2	11,39	0,1726	-1.27012292935785	0.44468328154128
chr14	20784391	20784440	DAC.263-x1-0	0	-	20784391	20784440	0	1	50	0	0.826678573184468	0.74307485248215
chr19	994301	994350	DAC.308-x1-0	0	+	994301	994350	0	1	50	0	-4.89034912822175	0.141595356954354
chr19	35166578	35166627	DAC.314-x1-0	0	-	35166578	35166627	0	1	50	0	-0.583146285345617	0.716303270848749
chr19	56894246	56895156	DAC.322-x1-0	0	-	56894246	56895156	0	2	42,8	0,903	0.670157662335248	0.788135235844218
chr1	20945062	20945311	DAC.4-x1-0	0	+	20945062	20945311	0	1	250	0	-0.707467234334693	0.97465371782814
