chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value	ensembl
chr6	53498437	53498486	GCLC	0	-	53498437	53498486	0	1	49	0	-1.09289798740744	0.000167750473082706	ENSG00000001084.13
chr7	92398338	92398387	ANKIB1	0	+	92398338	92398387	0	1	49	0	-0.950192283583678	0.000267871771817974	ENSG00000001629.10
chr2	201757551	201757600	ALS2	0	-	201757551	201757600	0	1	49	0	-0.830939338045323	0.00399544281542985	ENSG00000003393.15
chr2	201760946	201760995	ALS2	0	-	201760946	201760995	0	1	49	0	-1.10279639519063	0.00280860639163638	ENSG00000003393.15
chr2	201761345	201761394	ALS2	0	-	201761345	201761394	0	1	49	0	1.57365896834208	0.00303314901256657	ENSG00000003393.15
chr2	201129982	201130031	CFLAR	0	+	201129982	201130031	0	1	49	0	-1.64690884386422	0.00169703103527508	ENSG00000003402.20
chr17	28347325	28347374	POLDIP2	0	-	28347325	28347374	0	1	49	0	-1.12467239533797	0.0035562290358504	ENSG00000004142.12
chr17	28347523	28347572	POLDIP2	0	-	28347523	28347572	0	1	49	0	1.94591014888379	0.00391960969328142	ENSG00000004142.12
chr1	23083490	23083539	KDM1A	0	+	23083490	23083539	0	1	49	0	-0.885893254689784	0.00310425241155077	ENSG00000004487.17
chr3	49967756	49967805	RBM6	0	+	49967756	49967805	0	1	49	0	2.02904752797853	0.00392430820187839	ENSG00000004534.15
chr3	49968306	49968355	RBM6	0	+	49968306	49968355	0	1	49	0	-0.849977031447252	0.00111157164997577	ENSG00000004534.15
chr17	3861662	3861711	CAMKK1	0	-	3861662	3861711	0	1	49	0	5.52545293913178	0.00057435936210759	ENSG00000004660.15
chr17	47120741	47120790	CDC27	0	-	47120741	47120790	0	1	49	0	-1.02758298701705	0.00118011976856136	ENSG00000004897.12
chr19	18846042	18846091	UPF1	0	+	18846042	18846091	0	1	49	0	-2.31958266936202	0.000457417786740688	ENSG00000005007.13
chr17	35006157	35006206	LIG3	0	+	35006157	35006206	0	1	49	0	0.773393907411991	0.000581109577508787	ENSG00000005156.12
chr16	3727750	3727799	CREBBP	0	-	3727750	3727799	0	1	49	0	0.774116243093611	0.00179928461367695	ENSG00000005339.15
chr16	3728350	3728399	CREBBP	0	-	3728350	3728399	0	1	49	0	-2.77372444116517	0.00308831879024551	ENSG00000005339.15
chr16	3728499	3728548	CREBBP	0	-	3728499	3728548	0	1	49	0	-0.749129815310883	0.00180494401885523	ENSG00000005339.15
chr16	3728699	3728748	CREBBP	0	-	3728699	3728748	0	1	49	0	6.59987049920348	1.80212622602482e-10	ENSG00000005339.15
chr7	105109037	105109086	KMT2E	0	+	105109037	105109086	0	1	49	0	-1.37054600418498	0.000196631852562135	ENSG00000005483.21
chr6	82214468	82214517	IBTK	0	-	82214468	82214517	0	1	49	0	2.21355147062365	0.000257089535525057	ENSG00000005700.15
chr6	82214667	82214716	IBTK	0	-	82214667	82214716	0	1	49	0	-2.29918950461605	0.00297948602589127	ENSG00000005700.15
