chr	start	end	name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts	logFC	p_value
chr13	113845719	113845768	1011168:LINE:L1ME4b_3end	0	+	113845719	113845768	0	1	50	0	5.31320597904179	0.000846196956225232
chr13	114315605	114315654	1011370:LINE:L1MB8_3end	0	+	114315605	114315654	0	1	50	0	5.24174701505964	0.00096343344930383
chr14	19061114	19061163	1011737:LINE:L1P1_orf2	0	+	19061114	19061163	0	1	50	0	20.2729995586205	0.00386595692596559
chr1	155468145	155468194	103841:LINE:L1MD3_3end	0	-	155468145	155468194	0	1	50	0	6.46146817634434	3.37858026000504e-08
chr14	75003707	75003756	1049006:LINE:L1M5_orf2	0	+	75003707	75003756	0	1	50	0	3.85014760185526	0.000611166710993594
chr14	97240300	97240349	1065433:LINE:L1M5_orf2	0	+	97240300	97240349	0	1	50	0	2.42353770358273	0.00173599242782596
chr14	102205152	102205201	1068881:LINE:L1ME4b_3end	0	+	102205152	102205201	0	1	50	0	3.92197333628132	0.000252616088675328
chr14	102703484	102703533	1069359:LINE:L1M4c_5end	0	+	102703484	102703533	0	1	50	0	4.43081680147402	0.000249315075590894
chr1	166277423	166277472	111430:LINE:L1PREC2_orf2	0	-	166277423	166277472	0	1	50	0	4.6634390941027	1.43190905910195e-07
chr14	93288411	93288460	1123320:LINE:HAL1	0	-	93288411	93288460	0	1	50	0	5.25749537322567	1.39692967666694e-05
chr1	167943199	167943248	112619:LINE:L1M5_orf2	0	-	167943199	167943248	0	1	50	0	4.66343909411207	0.00270999037185671
chr14	105055635	105055684	1132354:LINE:L1MB3_3end	0	-	105055635	105055684	0	1	50	0	-0.919784621128207	9.52337474192655e-05
chr14	106243312	106243361	1132902:LINE:L1PA5_3end	0	-	106243312	106243361	0	1	50	0	3.85014760154904	1.04578811688238e-06
chr15	30131502	30131557	1139416:LINE:L2d2_3end	0	+	30131502	30131557	0	1	56	0	-2.96183072187831	0.00302264113485273
chr15	44744179	44744228	1149855:LINE:L1PA3_3end	0	+	44744179	44744228	0	1	50	0	2.74084002376418	0.000637590858735715
chr15	75341633	75341682	1173315:LINE:L1MDa_5end	0	+	75341633	75341682	0	1	50	0	1.16315080980568	0.000333199921506488
chr15	79412828	79412877	1176867:LINE:L1PA13_5end	0	+	79412828	79412877	0	1	50	0	3.23212105109847	0.000950039822631976
chr15	79412978	79413027	1176867:LINE:L1PA13_5end	0	+	79412978	79413027	0	1	50	0	4.85592890417425	1.79192221727576e-07
chr15	97438559	97438608	1189749:LINE:L1PA3_3end	0	+	97438559	97438608	0	1	50	0	-2.03017049267285	0.000173693029000499
chr15	50165362	50165411	1213076:LINE:L1M1_orf2	0	-	50165362	50165411	0	1	50	0	4.06902675423781	0.00245860199366188
chr15	56434363	56434412	1217526:LINE:L4_C_Mam	0	-	56434363	56434412	0	1	50	0	-2.2246235515953	0.00340409035199718
chr15	97394456	97394505	1249362:LINE:L1PA3_3end	0	-	97394456	97394505	0	1	50	0	-1.74823320417909	0.00423955253800856
chr16	2562823	2562872	1253778:LINE:L2c_3end	0	-	2562823	2562872	0	1	50	0	-0.670973323065164	0.000546073138789293
chr16	13276035	13276084	1263911:LINE:L1PB1_3end	0	-	13276035	13276084	0	1	50	0	3.96081316943655	6.6334644499566e-07
chr16	31458383	31458432	1282670:LINE:L3	0	-	31458383	31458432	0	1	50	0	-1.6094379124341	0.000146615847695153
chr16	62488762	62488811	1297350:LINE:L1PA3_3end	0	-	62488762	62488811	0	1	50	0	3.15700042115011	0.0017130106793366
chr1	194492852	194492901	130155:LINE:L1PA4_3end	0	-	194492852	194492901	0	1	50	0	2.56494935730759	0.0025997631141963
chr16	76158389	76158438	1308352:LINE:L1PA5_3end	0	-	76158389	76158438	0	1	50	0	4.63472898822963	0.00285038785667158
chr17	29787749	29787798	1407982:LINE:L1MB3_3end	0	-	29787749	29787798	0	1	50	0	3.88156379794344	0.00342933661174316
chr17	72818152	72818201	1444318:LINE:L3b_3end	0	-	72818152	72818201	0	1	50	0	-5.08347261752877	0.00119358360383504
chr17	58293005	58293054	1497217:LINE:L1MD2_5end	0	+	58293005	58293054	0	1	50	0	2.12931337170036	0.00220650868207273
chr17	66232567	66232616	1504280:LINE:L1MC4_5end	0	+	66232567	66232616	0	1	50	0	3.25809653801211	0.000627452182314414
chr17	80957140	80957189	1515790:LINE:L1M4_orf2	0	+	80957140	80957189	0	1	50	0	4.84418708644923	3.5363251514875e-06
chr17	80957290	80957339	1515790:LINE:L1M4_orf2	0	+	80957290	80957339	0	1	50	0	-2.60268968528336	0.00222544473667596
chr18	35223501	35223550	1536798:LINE:L1PREC2_orf2	0	-	35223501	35223550	0	1	50	0	3.09104245335095	0.0029629269195095
chr18	79285474	79285523	1564085:LINE:L1PA3_3end	0	-	79285474	79285523	0	1	50	0	3.58351893889307	0.000267869825527289
chr18	79897088	79897137	1564324:LINE:L1M4b_5end	0	-	79897088	79897137	0	1	50	0	-3.99820070067906	0.00271431824049018
chr1	236546412	236546461	159622:LINE:HAL1b	0	-	236546412	236546461	0	1	50	0	-1.64160719536749	0.000326317500838335
chr18	54290243	54290292	1596885:LINE:L1PA6_3end	0	+	54290243	54290292	0	1	50	0	3.72569342967551	0.000291501774269509
chr19	12894954	12895003	1624824:LINE:L2c_3end	0	+	12894954	12895003	0	1	50	0	-4.84418708629757	0.000250459830223204
chr19	22412744	22412793	1633795:LINE:L1PREC2_orf2	0	+	22412744	22412793	0	1	50	0	4.79991426261959	1.07663635995348e-06
chr19	43907347	43907396	1648475:LINE:L1MDa_5end	0	+	43907347	43907396	0	1	50	0	1.16387309224913	8.33041826359127e-05
chr19	52325189	52325238	1656929:LINE:L1PA15_3end	0	+	52325189	52325238	0	1	50	0	-0.920710252921187	0.00123974777470237
chr19	52325739	52325788	1656929:LINE:L1PA15_3end	0	+	52325739	52325788	0	1	50	0	1.78700564024137	0.000643184352102977
chr19	54496013	54496062	1658844:LINE:L1MC1_3end	0	+	54496013	54496062	0	1	50	0	3.25809653801235	0.00136908560374316
chr19	3538402	3538451	1665532:LINE:L1MB5_3end	0	-	3538402	3538451	0	1	50	0	-1.19978152366184	0.00226564077262514
chr19	3538652	3538701	1665532:LINE:L1MB5_3end	0	-	3538652	3538701	0	1	50	0	1.04145387482816	0.000936230593390875
chr19	4646646	4646695	1666749:LINE:L1MB7_3end	0	-	4646646	4646695	0	1	50	0	3.3672958299771	7.74430430393603e-05
chr19	15878617	15878666	1678917:LINE:L1MB5_3end	0	-	15878617	15878666	0	1	50	0	2.5257286438772	0.00112366246412898
chr19	29854007	29854056	1687100:LINE:L1MEb_5end	0	-	29854007	29854056	0	1	50	0	4.99721227376411	0.00149732402568781
chr19	43661517	43661566	1698948:LINE:L1MEb_5end	0	-	43661517	43661566	0	1	50	0	5.30330490804971	3.8154996606643e-07
chr1	4508500	4508549	170475:LINE:L1PA4_3end	0	+	4508500	4508549	0	1	50	0	1.79175946922865	0.000615332116345901
chr2	24800578	24800627	1729747:LINE:L1PA4_3end	0	-	24800578	24800627	0	1	50	0	3.97029191354276	9.05974724522141e-05
chr2	73646666	73646715	1764664:LINE:L1P1_orf2	0	-	73646666	73646715	0	1	50	0	5.13285292682051	0.000352592464325618
chr2	179045260	179045309	1829556:LINE:L1PA3_3end	0	-	179045260	179045309	0	1	50	0	3.73766961828665	0.000546208478183097
chr2	2204926	2204975	1871508:LINE:L1PA4_3end	0	+	2204926	2204975	0	1	50	0	4.43081679884331	0.00407009883874876
