,max pipeline,iAnalyzeR
OR6C65,0.0352960534823373,0.928247006732079
CADM4,-0.0579045786875443,1.05076599500205
ACADS,-0.12965160477484,-0.0107968881016548
ROCK2,0.122186872388954,-0.42623351696821005
ZNF485,0.170304984841361,-4.051475349928279
DVL3,-0.103672136040745,-2.19356712570541
DRGX,-0.0925806859536613,-0.850303839110793
LGALSL,0.0770973217721961,0.019818971455461003
TBC1D20,-0.150976851001,-1.13967671684435
PRDX2,-0.0303528024847927,0.878773537445078
RNF25,0.129892913819385,1.6674059842071398
FOXC2,0.106745924630114,-0.30675247932945193
PPP2R4,-0.164217341292304,-0.566364957493001
ZNF549,0.0658793035217736,0.713291421244144
TSFM,0.174652385668078,-1.06483004351059
P2RY1,0.0442785149186429,-1.38357447771053
LY6H,0.0851586770946403,-1.3313842067403798
FBXO43,0.0409707267586721,-1.03496761671066
CHMP3,-0.0790070639318533,-1.35517995638499
DLX3,0.0130916597620692,0.29167414583153806
NFKBIZ,-0.106117139674813,-0.783111205739234
USP26,0.0367266587911381,2.10628241417186
RBP7,-0.0883375753329329,0.201507419903557
MTIF3,0.0632635770133633,-0.10694765721362
GP6,0.0869185580805197,0.317050796063855
KCTD19,-0.0272139464103232,-0.674650948670797
PHF7,0.0963736803532147,0.8772449503532951
GPATCH3,0.0358660335276902,-1.5716908313581002
PQLC2,0.131348596446361,0.0956259342045384
SMS,-0.0877150254790014,-1.37105251047304
C7orf43,-0.0253498487331504,-0.656715493989077
SLC7A10,0.146523950218089,-2.2355367585856
C15orf57,-0.145926722920234,-0.609518039658855
MST1R,0.0157794909527538,-1.04350824257889
CPXM1,-0.00907852334914666,-0.211467443317531
EIF4G2,-0.537416531389464,-0.352136220268514
ZNF324,0.0135607333053843,-0.4754304542967229
MYH15,0.0560561574672527,-2.32565031336727
C6orf47,0.0706541579952764,0.9652934636116679
ARHGAP42,-0.0280507804747563,-1.74392728852173
C2,-0.081418976783326,0.16366366182946698
C17orf85,-0.0242750289454864,1.50150808601756
GABRE,0.0420966806821767,-0.36608305810836406
ETV6,-0.020779200538815,1.2774631728678
MED26,0.0436303727052871,0.5888367577757261
FPR1,0.00553001527498101,-1.2968473781313201
SOX17,0.0445054916450458,-0.297894964544348
COQ10B,-0.148149453311346,-2.19621612524015
IL18R1,0.0984543541877049,0.317050796063855
FKBP1B,-0.113715592573363,-1.5637909788987499
KRT85,-0.0758676467040677,-1.00992448854242
KIR3DL1,-0.0446096346596212,0.0666922943603778
KIAA0232,-0.0494180318677922,-1.24892777955779
PCDHB15,0.086003002526579,-1.73332924572586
SKIDA1,-0.120608228214257,-1.85239346725974
SCYL2,0.0502481864338649,-1.68465490566508
SPATA9,0.0183604881201847,-2.7042915623502797
MECOM,0.0974657630749283,-0.618191678526036
SRP14,0.0682059490891181,-2.8300597867949104
CDC42,0.0100314495724316,0.645088030344775
PLCXD1,0.060338285102046,-0.0514320010192488
USHBP1,-0.13193450435168,0.317050796063855
NIM1,0.106943324600185,-1.4370351808527402
ABCG4,0.00361515757071559,-0.13465028761341902
