chr	start	end	strand	pvalue	qvalue	meth.diff	dist.to.feature	feature.name	feature.strand
chr7	886048	889047	-	6.12605187795805e-35	2.38640350905856e-30	-30.6104356636271	0	AC073957.3	-
chr1	5862242	5865241	-	5.35225963725746e-32	1.04248637084682e-27	-40.1713607549136	0	MIR4689	-
chr4	1985978	1988977	-	1.15878881957735e-30	1.50468728222119e-26	-27.147465437788	0	MIR943	-
chr19	10107257	10110256	+	1.73051315947327e-28	1.68530350318203e-24	-39.4572778579866	0	SNORD105B	+
chr17	80941534	80944533	-	9.60615988750158e-28	7.48415916835248e-24	-38.7194755202695	0	AC127496.3	-
chr2	3481910	3484909	-	3.44221606778575e-27	2.2348587820099e-23	-31.6738816738817	0	TRAPPC12-AS1	-
chr14	100536439	100539438	+	6.24941860486975e-26	3.43096330297515e-22	-21.1450381679389	0	AL845552.2	+
chr15	76341142	76344141	+	7.51653554023285e-26	3.43096330297515e-22	-31.360064680765	0	AC027243.3	+
chr17	49013226	49016225	-	7.92675387672349e-26	3.43096330297515e-22	-33.1243113472064	0	AC091133.4	-
chr20	59931264	59934263	+	9.64750823322881e-26	3.75818683225428e-22	-33.2322089675031	0	FAM217B	+
chr15	76341564	76344563	-	1.15615520089566e-25	4.02883646335886e-22	-31.3383558326004	0	AC027243.3	+
chr21	44434621	44437620	+	1.24107399718409e-25	4.02883646335886e-22	-41.8561389003721	0	AP001065.2	+
chr11	68048240	68051239	+	2.6151684988587e-25	7.83645299023391e-22	-34.7318641382845	-854	AP002807.1	+
chr19	55229780	55232779	-	4.43682792979102e-24	1.23454737146435e-20	-40.171358629131	0	MIR6804	-
chr7	4788140	4791139	-	4.88482594547367e-24	1.26858929803951e-20	-24.2469734880077	0	MIR4656	-
chr10	104312980	104315979	-	1.41845980535735e-23	3.45350635735596e-20	-31.4681186040409	841	AL162742.1	+
chr18	79784621	79787620	+	2.54538769960134e-23	5.83268104929236e-20	-26.9343309011445	0	AC021594.1	+
chr1	1540125	1543124	-	6.23704220880634e-23	1.34979988468917e-19	-22.7471523582137	0	TMEM240	-
chr12	132548229	132551228	+	1.06915461151966e-22	2.19204831009202e-19	-21.019320689386	0	AC131212.3	+
chr15	96340453	96343452	+	1.38820574295234e-22	2.70387773583542e-19	-31.5325670498084	0	AC103746.1	+
chr1	1250835	1253834	-	1.82812810354243e-22	3.3911776320712e-19	-40.2806652806653	0	AL162741.1	-
chr11	634769	637768	+	3.56060639803203e-22	6.30470101069718e-19	-25.8841753449568	0	DRD4	+
chr19	19513236	19516235	+	3.86087098208281e-22	6.53914039595808e-19	-25.1740536534423	0	NDUFA13	+
chr17	77376737	77379736	-	4.10968588443981e-22	6.67053390118137e-19	-27.8034211240836	0	AC111182.1	-
chr2	241725194	241728193	-	6.1764806073098e-22	9.62419208231014e-19	-24.0769230769231	0	AC114730.3	-
chr19	5913400	5916399	-	7.85926017004408e-22	1.17752876893872e-18	-33.0584066471163	0	CAPS	+
chr17	81194893	81197892	+	2.4129594698824e-21	3.48136430182477e-18	-21.6964285714286	0	AC027601.3	+
