	T0_Rep1	GSK_Rep1	GSK_Rep2	DMSO_Rep1	DMSO_Rep2
A1CF_+_52645339.23-P1P2	0	1	0	1	0
A2ML1_-_8975664.23-P1P2	4	1	2	0	2
AAAS_-_53715371.23-P1P2	0	2	1	0	0
AAAS_+_53714983.23-P1P2	3	3	3	0	1
AADAC_-_151531939.23-P1P2	1	0	0	0	0
AAK1_-_69870791.23-P1P2	1	0	0	0	0
AAK1_+_69870290.23-P1P2	5	2	4	5	2
AARD_+_117950890.23-P1P2	0	0	0	1	0
ABCA13_+_48211160.23-P1P2	3	0	1	1	1
ABCB11_-_169887784.23-P1P2	0	0	0	1	0
ABCB8_+_150725965.23-P1P2	0	0	2	0	0
ABCC11_-_48280980.23-P2	1	8	5	3	1
ABCC4_+_95953641.23-P1P2	0	5	2	4	2
ABCC5_-_183735467.23-P1P2	0	1	0	0	0
ABCD3_-_94883974.23-P1P2	1	2	2	1	1
ABCG2_-_89079989.23-P1P2	2	0	1	0	0
ABCG5_+_44065447.23-P1P2	0	0	0	1	0
ABHD11_-_73153135.23-P1P2	0	0	1	2	0
ABHD11_+_73152656.23-P1P2	0	0	0	1	1
ABHD13_+_108870811.23-P1P2	0	1	2	1	0
ABHD14B_+_52016945.23-P2	0	0	2	2	0
ABHD15_-_27894008.23-P1P2	1	0	0	0	0
ABHD4_-_23067199.23-P1P2	0	0	0	0	1
ABHD4_-_23067680.23-P1P2	1	1	2	1	1
ABHD6_-_58223594.23-P1P2	0	2	0	0	0
ABHD8_-_17414201.23-P1P2	1	1	0	0	1
ABLIM1_+_116418018.23-ENST00000277895.5	0	0	0	3	2
ABLIM3_-_148521229.23-P1P2	1	0	0	0	0
ABR_+_1083266.23-P1P2	0	0	0	3	0
ABTB2_-_34379310.23-P1P2	1	1	1	0	1
ACAD8_+_134123511.23-P1P2	1	0	0	0	0
ACADSB_-_124768552.23-P1P2	1	0	0	0	0
ACADVL_-_7123283.23-P1P2	1	0	0	0	0
ACBD5_+_27529682.23-P1P2	1	0	0	1	0
ACCS_-_44088090.23-P1P2	1	2	3	2	0
ACCSL_+_44069616.23-ENST00000378832.1	0	0	0	0	1
ACE_-_61554428.23-P1	1	0	0	0	0
ACE_+_61554829.23-P1	0	1	0	1	0
ACHE_-_100493427.23-P1	0	0	0	2	0
ACKR3_-_237476493.23-P2	0	0	2	2	2
ACOT1_+_74003818.23-P1P2	0	0	0	0	1
ACOT7_-_6453388.23-P1P2	1	0	1	0	0
ACOT8_-_44485992.23-P1P2	1	0	2	1	2
ACP6_+_147142159.23-P1P2	0	0	1	0	0
ACPL2_-_140950647.23-P1P2	2	0	0	0	0
ACRV1_+_125550697.23-P1P2	2015	1751	2160	2398	2774
ACSF3_-_89160302.23-P1P2	0	0	0	1	0
ACSL4_-_108976463.23-P1P2	0	0	0	1	1
