	T0	DAC_Rep1	DAC_Rep2	DMSO_Rep1	DMSO_Rep2
A1BG_-_58864354.23-P2	21	7	0	7	1
A1BG_-_58864360.23-P2	55	3	18	81	22
A1BG_+_58864367.23-P2	8	0	0	24	3
A1CF_-_52645011.23-P1P2	1	0	0	0	0
A1CF_+_52645339.23-P1P2	26	6	0	41	10
A2M_-_9268273.23-P1P2	12	0	0	0	0
A2ML1_-_8975664.23-P1P2	0	0	1	0	0
A3GALT2_+_33786649.23-ENST00000442999.3	1	1	0	0	0
A4GALT_-_43116431.23-P1P2	10	20	0	19	0
A4GALT_-_43116434.23-P1P2	10	0	0	0	3
A4GALT_+_43116425.23-P1P2	25	0	14	27	63
A4GNT_+_137851024.23-P1P2	1	0	0	0	0
AAAS_-_53715371.23-P1P2	13	0	0	30	2
AAAS_-_53715389.23-P1P2	5	0	0	0	0
AAAS_-_53715438.23-P1P2	32	1	163	0	11
AAAS_+_53714983.23-P1P2	2	0	0	0	0
AAAS_+_53715355.23-P1P2	2	0	0	3	0
AACS_-_125550169.23-P1P2	20	1	0	0	10
AADACL2_+_151451926.23-P1P2	56	30	3	20	56
AADACL3_+_12776313.23-P1P2	0	0	0	1	0
AADACL3_+_12776495.23-P1P2	0	0	1	0	0
AADACL4_+_12704601.23-P1P2	71	24	1	80	49
AADACL4_+_12704653.23-P1P2	48	78	143	23	16
AAED1_-_99417574.23-P1P2	0	0	0	1	0
AAED1_+_99417117.23-P1P2	0	1	0	0	0
AAK1_-_69870791.23-P1P2	18	12	0	0	12
AAK1_+_69870290.23-P1P2	0	0	1	0	0
AAK1_+_69870701.23-P1P2	5	0	0	0	0
AAMP_-_219134424.23-P1P2	53	42	7	69	68
AAMP_-_219134469.23-P1P2	8	0	0	12	12
AAMP_+_219134851.23-P1P2	3	0	0	0	0
AANAT_-_74464175.23-P1P2	65	1	109	39	16
AANAT_+_74463735.23-P1P2	50	30	0	41	71
AARD_-_117950494.23-P1P2	68	34	18	91	54
AARD_+_117950890.23-P1P2	0	1	0	0	1
AARS2_+_44281006.23-P1P2	13	0	12	0	22
AARSD1_-_41116425.23-P1	61	2	96	219	106
AASDH_-_57253362.23-P1P2	2	0	1	0	0
