120h_DMSO_rep1	120h_DMSO_rep2	120h_treated_rep1	120h_treated_rep2	6h_DMSO_rep1	6h_DMSO_rep2	6h_treated_rep1	6h_treated_rep2	72h_DMSO_rep1	72h_DMSO_rep2	72h_treated_rep1	72h_treated_rep2
DAC+SB.4.2-x1-0	0	0	0	0	0	0	0	0	0	0	0	0
STRG.2.1-x3-0	0	0	2.23876154158169	1.06393285456257	0	2.02812329155389	0	1.25340151046857	0	0	1.04397138100991	0
DAC+SB.7.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.9.1-x1-0	16.6342744841473	8.49162993695306	2.23876154158169	10.6393285456257	8.63951974586659	8.11249316621557	3.86501180657561	3.7602045314057	12.0626712084605	6.87920599480576	7.30779966706936	5.47579812621788
DAC+SB.11.2-x1-0	0	0	0	0	0	0	0	0	0	0	0	0
DAC.3.1-x2-0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.13.2-x1-0	0	0	0	2.12786570912515	1.43991995764443	0	0	0.626700755234284	1.50783390105756	0	1.04397138100991	1.09515962524358
STRG.5.2-x3-0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.13.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.13.3-x1-0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.14.2-x1-0	0	0	0	0	0	0	0	0	0	0	2.08794276201982	2.19031925048715
DAC+SB.14.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.15.4-x1-0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.15.5-x1-0	2.37632492630676	1.21308999099329	0	0	1.43991995764443	0	0	0	0.753916950528778	1.14653433246763	0	1.09515962524358
DAC+SB.15.1-x1-0	0	0	4.47752308316338	0	0	0	0	0	0	0	0	0
DAC+SB.15.2-x1-0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.15.3-x1-0	0	0	0	4.2557314182503	0	0	0	0	0	0	0	0
DAC+SB.17.1-x1-0	0	0	0	0	0	0	0	0	0	0	0	0
DAC+SB.19.3-x1-0	5.9408123157669	6.06544995496647	6.71628462474506	1.06393285456257	0	13.1828013951003	0	3.13350377617142	4.52350170317267	3.43960299740288	3.13191414302973	1.09515962524358
DAC.4.1-x2-0	0	16.9832598739061	35.820184665307	30.8540527823146	0	0	0	15.6675188808571	6.03133560423023	5.73267166233814	30.2751700492874	12.0467558776793
DAC.4.2-x2-0	0	0	0	10.6393285456257	0	0	7.73002361315123	0	0	0	0	0
